Symbol,ProductDiver,Internationalisation (Percenatage of Oversea Sales),Year,BigDataCapability,SybolYear,FrontierIDYear,Operational Efficiency_2015,Operational Efficiency_2016,Grant Invention Patent,Customer Concentration,Supplier Concentration,Environmental Munificence,Environmental Instability,Complexity,Firm Income(Sales),LnFirm Income,Return on Assests(A),Return on Assets(B),R&D Expenditure,LnR&Dexpenditure,R&D Intensity,OperationalCost,LnOperational Cost,FirmSize,LnFirmSize,FirmAge,CapitalExpenditure,OperationalIncome,GIndstruyCode,SIndustryode,EstablishYear
50,0.01064255,0.5526,2015,2,502015,92015,0.91657321,0.89630962,14,29,17,1.38,0.001673351,-0.93,"¾8,809,723,501.00",22.89912189,0.025687,0.029773,883480793,8.946197112,0.083901288,"$10,530,002,724.00",23.07749442,13264,4.122674513,20,1657201260,8809723501,5,39,1995
2005,0.731525984,0.6343,2015,1,20052015,1422015,0.92948298,0.92615715,2,31.9,10.02,2.28,0.687202051,-0.7,"¾3,743,845,637.08",22.04337917,0.001052,0.001072,295534462.9,8.470608132,0.065581682,"$4,506,356,886.00",22.22875488,10748,4.031327658,19,704521759.7,3743845637,5,38,1996
2028,2.085549767,0.0655,2015,2,20282015,1612015,0.74759271,0.72298472,4,11.35,6.57,2.28,0.687202051,-0.7,"¾2,651,420,825.22",21.69836149,0.069206,0.073719,275393640.2,8.439953907,0.068892833,"$3,997,420,744.00",22.10891518,4966,3.696006715,15,78839527.76,2651420825,5,38,2000
2050,0.795897133,0.5159,2015,1,20502015,1742015,0.80933087,0.7899779,39,37.36,19.37,1.85,0.018339586,#N/A,"¾4,404,477,656.40",22.20588751,0.075671,0.077372,225608712.6,8.353355867,0.03661993,"$6,160,817,658.00",22.54147534,7643,3.88326386,14,339729703.9,4404477656,5,34,2001
2076,1.664542459,0.1898,2015,1,20762015,1902015,0.87243173,0.86178188,2,20.83,33.99,2.28,0.687202051,-0.7,"¾589,560,712.59",20.19488826,0.03629,0.050862,28436978.16,7.453883444,0.03547461,"$801,614,967.50",20.50213896,1386,3.14176323,11,27307909.95,589560712.6,5,38,2004
2347,1.143644484,0.0386,2015,1,23472015,3702015,0.79123851,0.79088601,4,26.31,26.33,1.85,0.018339586,#N/A,"¾240,600,621.23",19.29864894,0.006713,0.006761,15755400.67,7.197429452,0.041920485,"$375,840,131.60",19.74467443,792,2.898725182,8,17545673.28,240600621.2,5,34,2007
2141,0.274978193,#N/A,2015,1,21412015,2372015,0.94702464,0.9511166,1,15.24,83.88,2.28,0.687202051,#N/A,"¾737,037,727.74",20.41814964,0.011608,0.011162,20034436.61,7.301777134,0.024467639,"$818,813,641.30",20.52336707,824,2.915927212,30,3928078.56,737037727.7,5,38,1985
2202,0.403679481,0.1048,2015,1,22022015,2722015,0.78926994,0.76429408,12,39.27,48.1,1.85,0.018339586,#N/A,"¾22,093,013,175.49",23.81852725,0.054694,0.058473,1561590418,9.193567135,0.051945488,"$30,062,099,564.00",24.12653106,6526,3.814647069,14,7464112321,22093013175,5,34,2001
977,0.166216331,0.0722,2015,4,9772015,1342015,0.89696143,0.9015561,17,23.59,49,1.38,0.001673351,-0.93,"¾8,555,933,041.22",22.8698908,0.05717,0.064939,524827556.8,8.72001663,0.05184506,"$10,123,000,358.00",23.03807593,3243,3.510946949,17,445435469.2,8555933041,5,39,1998
938,0.058631809,#N/A,2015,4,9382015,1232015,0.91694922,0.83055378,4,9.41,68.57,1.38,0.001673351,-0.93,"¾12,745,578,064.42",23.26845023,0.032235,0.036983,67215065.73,7.827466628,0.005034872,"$13,349,904,816.00",23.31477509,1601,3.204391332,16,19891330.5,12745578064,5,39,1999
2079,0.807309377,0.6244,2015,2,20792015,1922015,0.95018406,0.92068617,5,32.59,23.69,1.38,0.001673351,-0.93,"¾695,604,415.63",20.36029169,0.012562,0.012588,51359076.58,7.710617207,0.063254305,"$811,945,945.90",20.51494433,1394,3.144262774,25,79294097.69,695604415.6,5,39,1990
970,0.0165624,0.3911,2015,3,9702015,1322015,0.87209362,0.8553109,25,41.46,27.37,1.38,0.001673351,-0.93,"¾2,682,225,163.34",21.70991257,0.062184,0.061805,91839506.58,7.963029542,0.026222284,"$3,502,345,754.00",21.9766988,5138,3.7107941,16,154683994.2,2682225163,5,39,1999
901,1.547302975,#N/A,2015,4,9012015,1062015,0.9032978,0.88243285,4,33.38,18.08,7.68,0.901011801,#N/A,"¾1,438,436,667.43",21.08682271,0.031458,0.031474,106933227.6,8.029112676,0.059078056,"$1,810,032,938.00",21.31661088,2465,3.391816924,16,60628317.51,1438436667,5,37,1999
903,0.258893099,#N/A,2015,3,9032015,1082015,0.92370974,0.93205069,3,52.47,32.06,1.85,0.018339586,#N/A,"¾2,358,816,882.24",21.58142601,0.024071,0.025285,132729771.3,8.122968346,0.046871286,"$2,831,792,830.00",21.76417586,2643,3.422097163,16,216031132.5,2358816882,5,34,1999
2035,1.347467799,#N/A,2015,1,20352015,1652015,0.68606163,0.63482037,16,17.68,19.95,2.28,0.687202051,-0.7,"¾2,285,260,756.68",21.54974597,0.078336,0.080328,121103186.6,8.083155571,0.032556525,"$3,719,782,345.00",22.03693099,4406,3.644044493,14,39262808.27,2285260757,5,38,2001
2052,0.694061745,0.3873,2015,3,20522015,1762015,0.8454118,0.9375145,26,33.68,39.7,1.38,0.001673351,-0.93,"¾737,526,410.68",20.41881246,0.021886,0.022181,62669109.55,7.797053524,0.060958156,"$1,028,067,675.00",20.75094683,1425,3.153814864,14,32996246.18,737526410.7,5,39,2001
2138,0.007670279,0.3037,2015,1,21382015,2342015,0.78276527,0.7714765,14,19.43,25.51,1.38,0.001673351,-0.93,"¾837,744,691.38",20.54622395,0.08073,0.087335,71289674.5,7.853026632,0.054036967,"$1,319,276,021.00",21.00034895,3137,3.496514519,10,388937756.1,837744691.4,5,39,2005
837,1.3400271,0.1767,2015,3,8372015,942015,0.94935203,#N/A,8,15.61,24.7,1.85,0.018339586,#N/A,"¾2,278,153,007.23",21.54663087,-0.036851,-0.037764,123207136.5,8.090635864,0.048349554,"$2,548,257,966.00",21.65867581,10469,4.0199052,17,40553486.38,2278153007,5,34,1998
2017,0.229368827,0.3384,2015,2,20172015,1532015,0.86295562,0.85058781,19,13.41,54.38,1.38,0.001673351,-0.93,"¾1,076,962,005.81",20.79740996,0.045377,0.044945,114945551.6,8.060492169,0.079859459,"$1,439,347,993.00",21.08745607,2297,3.361160995,14,23681645.11,1076962006,5,39,2001
2009,1.446371313,0.2042,2015,3,20092015,1462015,0.90290142,0.88596039,26,28.81,9.62,1.85,0.018339586,#N/A,"¾1,687,686,955.24",21.24662476,0.026219,0.027292,52554235.45,7.720607722,0.024165183,"$2,174,791,560.00",21.50019866,2948,3.469527479,15,380029204.8,1687686955,5,34,2000
2011,0.920171116,0.1256,2015,3,20112015,1482015,0.90630884,0.90937843,3,27.81,28.33,1.85,0.018339586,#N/A,"¾4,773,118,447.12",22.28626569,0.006547,0.006533,211626006.1,8.325569036,0.036120675,"$5,858,860,792.00",22.49122102,8642,3.936614262,14,404139774.5,4773118447,5,34,2001
880,0.694445659,0.0888,2015,3,8802015,1032015,0.94352407,0.9402069,2,34.49,32.45,1.85,0.018339586,#N/A,"¾2,128,666,957.95",21.47876178,0.00897,0.00886,87279371.98,7.940911613,0.035840587,"$2,435,210,479.00",21.61329903,3075,3.48784512,17,149314201.4,2128666958,5,34,1998
2013,0.793326202,0.0248,2015,3,20132015,1502015,0.78010832,0.8543096,9,26.14,27.32,7.68,0.901011801,#N/A,"¾5,555,351,747.04",22.43802758,0.026689,0.02758,231393284.1,8.36435075,0.031575945,"$7,328,150,720.00",22.71498903,60,1.77815125,15,578448222.4,5555351747,5,37,2000
2139,0.531441419,0.5705,2015,3,21392015,2352015,0.93440439,0.91208884,5,42.34,28.41,2.28,0.687202051,-0.7,"¾1,176,548,677.86",20.88585114,0.048688,0.060712,91185345.11,7.959925046,0.063062407,"$1,445,954,085.00",21.09203521,3348,3.524785449,13,253677664.2,1176548678,5,38,2002
2046,1.047036921,0.0549,2015,1,20462015,1722015,0.96198649,0.905689,45,16.44,13.61,1.85,0.018339586,#N/A,"¾363,142,943.24",19.7103071,-0.082029,-0.08117,68994970.03,7.83881743,0.162572138,"$424,396,030.40",19.86617761,1685,3.226599905,14,166704071.9,363142943.2,5,34,2001
2273,0.767407026,0.6315,2015,2,22732015,3202015,0.86699003,0.83151078,2,39.4,40.43,1.38,0.001673351,-0.93,"¾839,529,801.73",20.54835253,0.049374,0.062392,56150557.34,7.749354071,0.04752248,"$1,181,557,801.00",20.89009957,2711,3.433129518,9,271793821.7,839529801.7,5,39,2006
2045,0.772823044,0.7603,2015,2,20452015,1712015,0.91292491,0.91425296,1,69.4,25.3,1.38,0.001673351,-0.93,"¾1,786,904,153.00",21.30375044,0.015248,0.016112,128658888,8.109439793,0.057658356,"$2,231,400,561.00",21.52589528,2802,3.447468131,22,220840909,1786904153,5,39,1993
2055,0.16379044,0.24,2015,3,20552015,1792015,0.92249721,0.93071814,3,26.76,11.59,1.38,0.001673351,-0.93,"¾2,491,200,322.95",21.63603049,0.011227,0.013823,143652568.3,8.157313395,0.047288562,"$3,037,786,772.00",21.83439505,8374,3.922932957,13,168066011.9,2491200323,5,39,2002
521,0.787554016,0.2101,2015,2,5212015,302015,0.86284455,0.8613721,12,33.76,17.11,2.28,0.687202051,-0.7,"¾8,319,393,949.62",22.84185525,0.002341,0.002348,626725377.5,8.797077281,0.060170474,"$10,415,829,226.00",23.06659253,18290,4.262213705,23,89662934.62,8319393950,5,38,1992
541,0.692967229,0.3314,2015,1,5412015,372015,0.87191554,0.86031405,1,10.25,16.42,2.28,0.687202051,-0.7,"¾2,185,558,581.31",21.50513728,0.006231,0.007703,92891920,7.967977939,0.032291598,"$2,876,659,101.00",21.77989542,8028,3.904607364,23,68596503.73,2185558581,5,38,1992
636,0.556881572,0.1074,2015,4,6362015,502015,0.93328399,0.92037806,19,14.37,14.68,1.38,0.001673351,-0.93,"¾1,577,610,691.65",21.17917732,0.009833,0.011101,76497339.61,7.883646332,0.039440309,"$1,939,572,499.00",21.38573342,7026,3.846708145,21,287876075.3,1577610692,5,39,1994
2056,1.313181757,0.2413,2015,1,20562015,1802015,0.87000502,0.87132313,34,19.51,17.22,2.28,0.687202051,-0.7,"¾3,017,553,962.76",21.82771239,0.06286,0.06512,156320150,8.194014963,0.039491857,"$3,958,288,174.00",22.09907749,8479,3.928344635,16,151816808.4,3017553963,5,38,1999
418,0.306224093,0.2049,2015,4,4182015,222015,0.77801884,0.76630841,14,32.57,22.03,2.28,0.687202051,-0.7,"¾9,646,390,824.36",22.98984967,0.073503,0.081941,557310001,8.746096837,0.042440286,"$13,131,626,932.00",23.29828943,7872,3.896085085,22,113960753.5,9646390824,5,38,1993
16,0.918413976,0.3223,2015,2,162015,32015,0.90610614,0.89221414,101,17.93,37.88,1.38,0.001673351,-0.93,"¾16,055,497,185.62",23.49931713,-0.089531,-0.082234,229397281.2,8.360588266,0.012470512,"$18,395,177,036.00",23.63535435,18541,4.268133154,35,234096470.7,16055497186,5,39,1980
21,0.875736874,0.8816,2015,3,212015,42015,0.9526157,0.95340528,5,86.06,60.89,1.38,0.001673351,-0.93,"¾14,696,720,834.19",23.41089023,0.012601,0.012551,168168750.9,8.225745298,0.010947193,"$15,361,814,755.00",23.45515071,20476,4.311245121,22,760138485.1,14696720834,5,39,1993
682,1.18002576,0.1256,2015,4,6822015,582015,0.79534926,0.80871076,6,15.69,11.66,2.28,0.687202051,-0.7,"¾1,422,186,051.52",21.075461,0.034697,0.035581,143572634,8.157071668,0.068917371,"$2,083,257,569.00",21.45719864,3998,3.60184279,21,61278993.89,1422186052,5,38,1994
806,1.299044697,0.002,2015,2,8062015,862015,0.87107837,0.86695932,1,33.3,25.29,2.28,0.687202051,-0.7,"¾610,681,513.91",20.23008613,0.037997,0.041832,31727301.27,7.501433133,0.038117468,"$832,355,954.20",20.53977074,2121,3.326540669,17,19964238.63,610681513.9,5,38,1998
2058,1.257837992,#N/A,2015,1,20582015,1822015,0.60976344,#N/A,2,13.98,18.45,3.54,0.586050438,#N/A,"¾63,283,085.34",17.96312864,-0.052989,-0.051475,5847384.73,6.766961669,0.0596888,"$97,964,520.85",18.40011594,327,2.514547753,23,705110.47,63283085.34,5,40,1992
66,0.926253881,0.5954,2015,4,662015,122015,0.90158997,0.89698721,8,32.19,38.99,1.38,0.001673351,-0.93,"¾66,265,793,091.36",24.91693966,-0.004937,-0.00487,1464388561,9.165656328,0.02007776,"$72,935,851,650.00",25.01284615,38711,4.58783439,18,1132360002,66265793091,5,39,1997
651,0.296399384,0.1368,2015,2,6512015,512015,0.69251223,0.68714894,439,25.6,22.91,2.28,0.687202051,-0.7,"¾66,017,353,745.09",24.91318348,0.07807,0.079412,#N/A,#N/A,#N/A,"$97,745,137,194.00",25.30562929,70561,4.848564727,26,2884513075,66017353745,5,38,1989
678,0.885789953,0.5111,2015,2,6782015,562015,0.96460317,0.95615048,2,28.13,27.41,1.85,0.018339586,#N/A,"¾1,146,723,557.66",20.86017463,-0.031519,-0.032262,46580000,7.668199484,0.037188927,"$1,252,523,366.00",20.94842605,4373,3.640779477,22,174814718.8,1146723558,5,34,1993
811,0.670302299,#N/A,2015,1,8112015,882015,0.80779893,0.79245358,2,14.69,14.43,1.85,0.018339586,#N/A,"¾2,049,247,047.76",21.44073827,0.074222,0.072356,92156172,7.964524427,0.032121058,"$2,869,026,695.00",21.77723868,1515,3.180412633,27,108842060.9,2049247048,5,34,1988
725,0.569052445,0.5646,2015,3,7252015,672015,0.86628886,0.8790288,1179,38.58,19.14,1.38,0.001673351,-0.93,"¾38,755,090,666.00",24.38052796,0.010735,0.011343,3318561843,9.520949915,0.068249838,"$48,623,732,312.00",24.60737757,42837,4.631819048,22,18607146447,38755090666,5,39,1993
2281,0.808755604,0.225,2015,3,22812015,3242015,0.84886208,0.88118868,23,56.13,22.94,1.38,0.001673351,-0.93,"¾2,333,456,974.23",21.57061668,0.057707,0.062365,308159527.5,8.4887756,0.098140641,"$3,139,978,743.00",21.86748187,3883,3.589167391,11,123070601.6,2333456974,5,39,2004
2350,1.2597099,0.0082,2015,2,23502015,3712015,0.88568661,0.84653195,8,20.9,22.76,2.28,0.687202051,-0.7,"¾1,114,100,821.29",20.83131348,0.022088,0.023419,54353684.85,7.735228992,0.037172028,"$1,462,220,055.00",21.1032217,1726,3.237040791,14,85477866.55,1114100821,5,38,2001
2089,1.310235271,#N/A,2015,3,20892015,2002015,0.88957688,0.949184,3,69.06,84.62,1.38,0.001673351,-0.93,"¾1,293,825,735.17",20.98086935,0.0324,0.037559,90262762.86,7.955508623,0.051816153,"$1,741,981,178.00",21.27828891,3412,3.533009022,18,500772224.2,1293825735,5,39,1997
2025,0.945655224,#N/A,2015,1,20252015,1592015,0.74901227,0.74968737,2,20.65,16.5,1.38,0.001673351,-0.93,"¾1,195,194,958.18",20.90157515,0.079657,0.084914,164686289.9,8.216657446,0.0879061,"$1,873,434,141.00",21.35103902,3661,3.563599729,14,68901820.94,1195194958,5,39,2001
536,0.057971656,0.8017,2015,1,5362015,352015,0.93179513,#N/A,2,97.43,69.31,1.38,0.001673351,#N/A,"¾4,692,933,206.97",22.26932364,0.022357,0.020671,82303324.42,7.915417378,0.015147201,"$5,433,566,703.00",22.41586161,6551,3.816307599,34,367170829.9,4692933207,5,39,1981
2449,0.981673625,0.0981,2015,2,24492015,4462015,0.90554753,0.90752166,4,36.5,46.83,1.38,0.001673351,-0.93,"¾1,422,628,200.05",21.07577184,0.035089,0.038191,85478266.7,7.931855707,0.046493089,"$1,838,515,560.00",21.33222432,4069,3.60948769,34,226282878.4,1422628200,5,39,1981
2520,1.2498933,0.6281,2015,1,25202015,4902015,0.75773217,0.7549933,3,26.98,14.3,1.85,0.018339586,#N/A,"¾486,926,063.66",20.00362285,0.018698,0.024041,50159790.45,7.700355713,0.065329375,"$767,798,417.00",20.45903778,882,2.945468585,16,31357825.64,486926063.7,5,34,1999
2396,1.433983568,0.1383,2015,2,23962015,4012015,0.61584293,0.63202196,5,21.36,35.29,1.38,0.001673351,-0.93,"¾2,453,111,529.97",21.62062307,0.090371,0.104327,653734962.8,8.815401712,0.144743545,"$4,516,505,130.00",22.23100433,7567,3.878923734,19,108662262.2,2453111530,5,39,1996
2483,0.938133292,0.8552,2015,1,24832015,4692015,0.95986878,0.87350635,4,83.51,62.44,1.85,0.018339586,#N/A,"¾1,792,786,484.85",21.30703694,-0.095648,-0.106302,138023241.1,8.139952221,0.072338849,"$1,908,009,915.00",21.36932661,2379,3.376394442,12,68561720.82,1792786485,5,34,2003
2506,0.872323597,0.0207,2015,1,25062015,4812015,0.89778767,0.91018357,2,40.58,29.72,1.38,0.001673351,-0.93,"¾5,316,501,780.59",22.39408136,0.04321,0.071411,17122290.48,7.233561861,0.002724813,"$6,283,840,748.00",22.56124721,3462,3.539327064,12,68430640.1,5316501781,5,39,2003
2587,1.446401253,0.6441,2015,1,25872015,5402015,0.65072103,0.54199946,4,34,24.5,1.38,0.001673351,#N/A,"¾150,467,279.67",18.82925621,0.030902,0.029644,39912276.14,7.601106496,0.136141617,"$293,167,343.00",19.49625414,1046,3.019531685,22,21874479.44,150467279.7,5,39,1993
2579,0.737614558,0.2468,2015,4,25792015,5332015,0.95207022,0.94578921,2,39.95,57.16,1.38,0.001673351,-0.93,"¾484,036,841.69",19.99767158,0.023129,0.025178,18233135.91,7.260861369,0.031512922,"$578,592,369.00",20.17610876,1968,3.294025094,15,94261931.1,484036841.7,5,39,2000
2508,1.126988901,0.0437,2015,1,25082015,4822015,0.47420642,0.47498328,2,23.35,23.58,2.28,0.687202051,-0.7,"¾1,899,998,270.12",21.36511881,0.164712,0.191379,150383709,8.177200792,0.033104346,"$4,542,718,028.00",22.23679135,3265,3.513883186,15,278075079.2,1899998270,5,38,2000
2402,1.118786612,0.6227,2015,4,24022015,4062015,0.90316486,0.89890505,12,53.97,8.88,1.38,0.001673351,-0.93,"¾876,449,140.04",20.59138923,0.053795,0.05649,78724661.98,7.896110805,0.070886589,"$1,110,572,017.00",20.82814105,2361,3.373095987,8,14862087.62,876449140,5,39,2007
2527,1.348078831,0.1302,2015,1,25272015,4952015,0.7487954,0.85344459,7,20.95,11.66,2.28,0.687202051,-0.7,"¾964,812,868.44",20.68744472,0.056126,0.065071,138791102.9,8.142361627,0.092095593,"$1,507,033,047.00",21.13340869,2093,3.320769228,20,45027639.69,964812868.4,5,38,1995
2528,0.68726034,0.7709,2015,1,25282015,4962015,0.68359532,0.7099334,4,28.86,45.14,1.38,0.001673351,-0.93,"¾1,056,148,165.98",20.77789432,0.023377,0.024655,131273508.2,8.118177092,0.072402293,"$1,813,112,570.00",21.31831086,1621,3.209783015,7,147924046.3,1056148166,5,39,2008
2529,1.408610337,0.0369,2015,1,25292015,4972015,0.87945403,0.91908296,7,51.71,23.69,1.85,0.018339586,#N/A,"¾158,898,800.03",18.88377808,0.002299,0.002383,60806980.28,7.783953437,0.264213651,"$230,143,219.10",19.25421236,731,2.863917377,8,35739498.78,158898800,5,34,2007
2543,0.866895938,0.3623,2015,4,25432015,5092015,0.78769673,0.76183454,11,27.33,9.38,2.28,0.687202051,-0.7,"¾2,892,599,941.17",21.78542157,0.074961,0.079636,164913046.6,8.217255015,0.039337883,"$4,192,219,708.00",22.15649619,4733,3.675136504,12,218089327.3,2892599941,5,38,2003
2446,1.5365601,0.0403,2015,3,24462015,4442015,0.8237608,0.74031146,3,57.18,24.53,1.38,0.001673351,-0.93,"¾622,810,593.03",20.24975301,0.041324,0.054462,36538331.89,7.562748716,0.040160861,"$909,799,510.20",20.62873481,1586,3.200303183,8,54652316.37,622810593,5,39,2007
2580,1.072408625,0.1701,2015,4,25802015,5342015,0.91039898,0.88552173,1,44.1,48.45,2.28,0.687202051,-0.7,"¾1,105,323,791.32",20.82340415,0.01823,0.019403,50113154.76,7.699951744,0.036320154,"$1,379,761,643.00",21.0451766,1993,3.299507299,17,37582870.68,1105323791,5,38,1998
2576,1.332281181,0.0294,2015,3,25762015,5302015,0.95545724,0.95641337,2,40.41,82.26,2.28,0.687202051,-0.7,"¾762,454,856.67",20.45205386,0.007773,0.007677,17413994.94,7.240898414,0.020290979,"$858,213,627.00",20.57036361,1428,3.154728207,27,42905437.57,762454856.7,5,38,1988
2577,1.008659981,0.6343,2015,3,25772015,5312015,0.86068276,0.88994609,15,30.8,26.21,1.38,0.001673351,-0.93,"¾350,440,828.64",19.67470243,-0.15303,-0.144344,52564209.81,7.72069014,0.10506935,"$500,281,098.80",20.0306807,1655,3.218797998,13,24548534.11,350440828.6,5,39,2002
2463,0.166032605,0.68,2015,3,24632015,4552015,0.95050282,0.92826804,4,61.74,29.12,1.38,0.001673351,-0.93,"¾2,981,308,292.00",21.81562807,0.001019,0.001018,113332734,8.054355366,0.033558827,"$3,377,136,295.00",21.94029394,7719,3.887561041,12,481577448,2981308292,5,39,2003
2475,1.222502976,0.867,2015,1,24752015,4632015,0.87836752,0.88362314,3,48.81,28.58,1.38,0.001673351,-0.93,"¾7,819,364,019.52",22.77986906,0.097662,0.106361,582375006.6,8.765202728,0.057436308,"$10,139,492,447.00",23.03970378,38206,4.582131571,11,1046386800,7819364020,5,39,2004
2436,0.893603069,0.4061,2015,2,24362015,4352015,0.83404609,0.80282918,2,10.62,29.7,1.38,0.001673351,-0.93,"¾1,464,857,722.12",21.10502396,0.041028,0.048577,139526569,8.144656915,0.065830601,"$2,119,478,904.00",21.4744361,4419,3.645324002,10,537538116.9,1464857722,5,39,2005
2598,1.213263787,0.0286,2015,2,25982015,5472015,0.75818129,0.77856045,2,6.66,22.74,1.85,0.018339586,#N/A,"¾277,372,909.12",19.4408734,0.055674,0.055358,23066088.47,7.362973953,0.051702025,"$446,135,108.40",19.9161324,998,2.999130541,9,11419554.28,277372909.1,5,34,2006
2600,1.4422404,0.3313,2015,4,26002015,5482015,0.94680249,0.93944511,1,21.72,43.2,1.38,0.001673351,-0.93,"¾4,450,217,931.83",22.21621891,0.009771,0.013492,76764683.11,7.885161461,0.015765105,"$4,869,278,347.00",22.30621158,7846,3.894648304,40,107175364.9,4450217932,5,39,1975
2388,1.257476536,0.0379,2015,3,23882015,3942015,0.91782139,0.90605503,1,61.8,10.38,1.38,0.001673351,-0.93,"¾464,385,276.19",19.9562251,0.005724,0.005861,6451136.33,6.80963622,0.011328826,"$569,444,395.00",20.1601717,467,2.669316881,12,5705988.47,464385276.2,5,39,2003
300286,1.438336564,0.0338,2015,3,3002862015,8542015,0.55086905,0.54322405,4,15.54,21.59,3.54,0.586050438,-0.76,"¾131,789,581.70",18.69671713,0.091399,0.095033,27872798.06,7.445180568,0.090740195,"$307,171,457.60",19.54291664,960,2.982271233,12,59979905.7,131789581.7,5,40,2003
2438,1.532468771,#N/A,2015,2,24382015,4372015,0.84226591,0.73215347,3,11.89,19.41,1.85,0.018339586,#N/A,"¾284,211,948.09",19.46523081,0.009452,0.010987,25123890.09,7.400086885,0.058766272,"$427,522,273.60",19.87351695,1130,3.053078443,14,100927963.9,284211948.1,5,34,2001
2456,0.880696719,0.2318,2015,3,24562015,4512015,0.92263392,0.92499357,29,68.14,25.22,1.38,0.001673351,-0.93,"¾16,122,209,800.72",23.50346365,0.029777,0.031386,946527786.6,8.976133368,0.051169842,"$18,497,766,560.00",23.64091584,28405,4.453394794,8,1167299673,16122209801,5,39,2007
2471,1.477424367,0.0138,2015,1,24712015,4612015,0.91268336,0.91065647,1,14.52,48.05,2.28,0.687202051,-0.7,"¾4,398,050,220.71",22.20442715,0.013632,0.015825,177052442.2,8.248101922,0.034276761,"$5,165,378,490.00",22.36524422,3440,3.536558443,7,112105866.9,4398050221,5,38,2008
2532,0.601447091,0.4801,2015,2,25322015,4992015,0.87665563,0.87191985,1,9.62,26.16,1.85,0.018339586,#N/A,"¾835,375,635.22",20.54339204,0.071059,0.073814,43949528.28,7.642954218,0.03833643,"$1,146,416,824.00",20.85990711,2509,3.399500661,6,131703594.4,835375635.2,5,34,2009
